Identification Number,Savings Account Number,Last Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Credit Max,Credit Starting Balance,Address,First Name
79,2078,A,5-Mar-39,1078,3078,(915) 747-5042,857.56,3364.79,7985,-786.93,"500 W. University Ave, El Paso, TX 79968",Daniel
49,2048,Aguirre,5-May-41,1048,3048,(915) 747-5012,1845.56,3352.49,8899,-58.57,"500 W. University Ave, El Paso, TX 79968",Derek
18,2017,Aladdin,20-Jan-83,1017,3017,(714) 781-4636,518.07,2220.54,3029,-406.48,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar
76,2075,Aun,6-Aug-94,1075,3075,(915) 747-5039,1352.3,132.29,8789,-1240.71,"500 W. University Ave, El Paso, TX 79968",Nathan
38,2037,Avila,19-Oct-65,1037,3037,(915) 747-5001,85.09,516.33,3484,-1827.58,"500 W. University Ave, El Paso, TX 79968",Alex
80,2079,B,25-Dec-18,1079,3079,(915) 747-5043,362.4,2413.6,8357,-1911.51,"500 W. University Ave, El Paso, TX 79968",Daniel
54,2053,Baechle,16-Sep-58,1053,3053,(915) 747-5017,1734.37,4768.87,5352,-886.85,"500 W. University Ave, El Paso, TX 79968",Gavin
48,2047,Baptiste,5-May-98,1047,3047,(915) 747-5011,1076.98,3271.72,7772,-281.86,"500 W. University Ave, El Paso, TX 79968",David
39,2038,Beltran,13-Mar-01,1038,3038,(915) 747-5002,474.39,3447.36,3177,-866.29,"500 W. University Ave, El Paso, TX 79968",Alfonso
47,2046,Bencomo,12-Jul-72,1046,3046,(915) 747-5010,519.88,1812.87,8798,-1863.49,"500 W. University Ave, El Paso, TX 79968",Dafne
64,2063,Blanco,7-Aug-04,1063,3063,(915) 747-5027,1506.74,4347.22,6487,-1050.73,"500 W. University Ave, El Paso, TX 79968",Laura
44,2043,Bustamante,17-Oct-53,1043,3043,(915) 747-5007,355.39,3764.74,6698,-1452.54,"500 W. University Ave, El Paso, TX 79968",Brandon
81,2080,C,25-May-47,1080,3080,(915) 747-5044,909.74,342.74,9400,-505.4,"500 W. University Ave, El Paso, TX 79968",Daniel
45,2044,Cabrera,22-Jun-89,1044,3044,(915) 747-5008,1806.19,1685.66,9182,-1906.17,"500 W. University Ave, El Paso, TX 79968",Cesar
73,2072,Carrasco,21-Oct-02,1072,3072,(915) 747-5036,1152.39,2408.91,9319,-160,"500 W. University Ave, El Paso, TX 79968",Roberto
66,2065,Castro Jimenez,27-Jan-84,1065,3065,(915) 747-5029,1942.67,655.67,4080,-1930.17,"500 W. University Ave, El Paso, TX 79968",Lidice
41,2040,Cordero,30-Aug-32,1040,3040,(915) 747-5004,1169.49,1375.06,5166,-1725.64,"500 W. University Ave, El Paso, TX 79968",Alyssandra
82,2081,D,7-Oct-01,1081,3081,(915) 747-5045,731.6,3235.49,9172,-883.24,"500 W. University Ave, El Paso, TX 79968",Daniel
70,2069,Dang,21-Dec-09,1069,3069,(915) 747-5033,623.42,1691.78,5351,-1966.94,"500 W. University Ave, El Paso, TX 79968",Minh
22,2021,De Vil,10-Mar-62,1021,3021,(714) 781-4636,1132.61,4261.53,7949,-319.71,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella
71,2070,Decena,14-Nov-07,1070,3070,(915) 747-5034,1450.22,529.74,8674,-689.71,"500 W. University Ave, El Paso, TX 79968",Oscar
4,2003,Disney,5-Mar-51,1003,3003,(714) 781-4636,1456.69,884.26,8647,-141.39,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy
5,2004,Disney,20-Mar-37,1004,3004,(714) 781-4636,1549.67,1622.73,5415,-1289.68,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto
6,2005,Disney,25-Aug-05,1005,3005,(714) 781-4636,32.84,3687.14,8089,-1451.7,"1313 Disneyland Dr, Anaheim, CA 92802",Chip
7,2006,Disney,19-Aug-12,1006,3006,(714) 781-4636,894.1,4091.61,3219,-53.21,"1313 Disneyland Dr, Anaheim, CA 92802",Dale
8,2007,Disney,3-Mar-47,1007,3007,(714) 781-4636,915.54,2977.94,7415,-4.16,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella
9,2008,Disney,15-Apr-70,1008,3008,(714) 781-4636,1581.97,729.5,7822,-1810.55,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel
10,2009,Disney,17-Nov-91,1009,3009,(714) 781-4636,633.94,1087.1,9736,-1797.38,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine
11,2010,Disney,11-Oct-28,1010,3010,(714) 781-4636,140.78,3431.15,7398,-1989.22,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin
12,2011,Disney,24-Oct-12,1011,3011,(714) 781-4636,1336.79,373.47,4931,-1220.11,"1313 Disneyland Dr, Anaheim, CA 92802",Simba
13,2012,Disney,19-Jan-09,1012,3012,(714) 781-4636,148.68,3846.05,7463,-1112.18,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa
14,2013,Disney,12-Jun-60,1013,3013,(714) 781-4636,343.45,4806.74,8372,-169.44,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora
16,2015,Disney,2-Apr-95,1015,3015,(714) 781-4636,258.06,2429.23,7932,-1005.79,"1313 Disneyland Dr, Anaheim, CA 92802",Woody
20,2019,Disney,16-Aug-98,1019,3019,(714) 781-4636,1849.03,4398.81,7687,-160.2,"1313 Disneyland Dr, Anaheim, CA 92802",Beast
21,2020,Disney,5-Oct-54,1020,3020,(714) 781-4636,517.81,2434.75,8396,-1024.19,"1313 Disneyland Dr, Anaheim, CA 92802",Belle
25,2024,Disney,11-Aug-09,1024,3024,(714) 781-4636,168.24,994.47,3397,-1264.11,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston
28,2027,Disney,22-Feb-69,1027,3027,(714) 781-4636,928.76,423.8,3237,-864.26,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa
30,2029,Disney,20-Mar-08,1029,3029,(714) 781-4636,1280.77,1412.45,9149,-14.76,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio
32,2031,Disney,17-Sep-71,1031,3031,(714) 781-4636,483.57,2302.79,5023,-1454.15,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo
33,2032,Disney,30-Jun-66,1032,3032,(714) 781-4636,1270.03,1388.27,5094,-1855.19,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules
34,2033,Disney,14-Oct-79,1033,3033,(714) 781-4636,1774.26,1216.15,7881,-397.68,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan
35,2034,Disney,19-Jul-44,1034,3034,(714) 781-4636,1763.47,1942.89,7722,-1715.37,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo
36,2035,Disney,3-Feb-28,1035,3035,(714) 781-4636,387.32,4919.61,8172,-16.87,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch
2,2001,Duck,7-Apr-94,1001,3001,(714) 781-4636,1928.58,3582.37,8147,-1513.57,"1313 Disneyland Dr, Anaheim, CA 92802",Donald
83,2082,E,17-Jun-72,1082,3082,(915) 747-5046,190.25,3689.98,7011,-269.32,"500 W. University Ave, El Paso, TX 79968",Daniel
31,2030,Eric,10-Feb-05,1030,3030,(714) 781-4636,1250.24,4505,7019,-1413.12,"1313 Disneyland Dr, Anaheim, CA 92802",Prince
72,2071,Evans,8-Aug-55,1071,3071,(915) 747-5035,1223.55,2907.59,5198,-329.08,"500 W. University Ave, El Paso, TX 79968",Robert
84,2083,F,24-Mar-86,1083,3083,(915) 747-5047,214.25,1020.81,7196,-814.22,"500 W. University Ave, El Paso, TX 79968",Daniel
85,2084,G,18-Nov-77,1084,3084,(915) 747-5048,1930.6,3788.92,8439,-1101.55,"500 W. University Ave, El Paso, TX 79968",Daniel
50,2049,Garcia,2-Jun-92,1049,3049,(915) 747-5013,1243.42,1243.48,6262,-862.06,"500 W. University Ave, El Paso, TX 79968",Eduardo
57,2056,Garcia,30-Mar-42,1056,3056,(915) 747-5020,135.23,3011.8,8216,-990.67,"500 W. University Ave, El Paso, TX 79968",Hernan
63,2062,Garcia,7-Mar-97,1062,3062,(915) 747-5026,1740.54,3508.77,5693,-444.56,"500 W. University Ave, El Paso, TX 79968",Judith
61,2060,Gutierrez,9-Jan-89,1060,3060,(915) 747-5024,526.23,3227.73,9566,-1581.21,"500 W. University Ave, El Paso, TX 79968",Juan
86,2085,H,2-May-37,1085,3085,(915) 747-5049,1326.34,3465.11,9853,-1977.56,"500 W. University Ave, El Paso, TX 79968",Daniel
74,2073,Hernandez,20-Apr-52,1073,3073,(915) 747-5037,1515.79,740.81,9291,-1721.04,"500 W. University Ave, El Paso, TX 79968",Sofia
