Savings Account Number,Last Name,Identification Number,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Password,Credit Starting Balance,Address,First Name,Email,Credit Max
2078,A,79,"December 5, 1953",1078,3078,(915) 747-5042,1311.17,3198.85,A*Daniel!987,-186.96,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielA@disney.com,3938
2055,Navarrete,56,"March 29, 2011",1055,3055,(915) 747-5019,1339.79,3901.29,Navarrete*Grecia!987,-475.59,"500 W. University Ave, El Paso, TX 79968",Grecia,GreciaNavarrete@disney.com,9308
2012,Disney,13,"May 24, 1938",1012,3012,(714) 781-4636,1100.32,4801.11,Disney*Mufassa!987,-346.32,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa,MufassaDisney@disney.com,8216
2056,Garcia,57,"March 29, 1964",1056,3056,(915) 747-5020,715.18,3305.52,Garcia*Hernan!987,-511.05,"500 W. University Ave, El Paso, TX 79968",Hernan,HernanGarcia@disney.com,3625
2001,Duck,2,"June 14, 2009",1001,3001,(714) 781-4636,368.81,4911.33,Duck*Donald!987,-1239.22,"1313 Disneyland Dr, Anaheim, CA 92802",Donald,DonaldDuck@disney.com,4778
2077,Mejia,78,"November 1, 2002",1077,3077,(915) 747-5041,138.72,642.59,Mejia*Daniel!987,-1368.18,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielMejia@disney.com,8870
2079,B,80,"October 13, 1999",1079,3079,(915) 747-5043,1423.90,105.65,B*Daniel!987,-1387.10,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielB@disney.com,3924
2014,Pan,15,"October 18, 1954",1014,3014,(714) 781-4636,135.90,2200.51,Pan*Peter!987,-1274.09,"1313 Disneyland Dr, Anaheim, CA 92802",Peter,PeterPan@disney.com,5738
2102,Z,103,"September 24, 2008",1102,3102,(915) 747-5066,1497.87,1857.88,Z*Daniel!987,-1908.51,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielZ@disney.com,8559
2032,Disney,33,"March 27, 2004",1032,3032,(714) 781-4636,1275.90,4413.97,Disney*Hercules!987,-1381.50,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules,HerculesDisney@disney.com,3335
