First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Email,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance, Credit Max
Daniel,A,"December 5, 1953",79,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,DanielA@disney.com,A*Daniel!987,1078,2078,3078,1311.17,3198.85,-186.96,3938.0
Grecia,Navarrete,"March 29, 2011",56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,GreciaNavarrete@disney.com,Navarrete*Grecia!987,1055,2055,3055,5368.68,3901.29,-475.59,9308.0
Mufassa,Disney,"May 24, 1938",13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MufassaDisney@disney.com,Disney*Mufassa!987,1012,2012,3012,1066.78,4699.639999999999,-346.32,8216.0
Hernan,Garcia,"March 29, 1964",57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,HernanGarcia@disney.com,Garcia*Hernan!987,1056,2056,3056,4749.88,3305.52,-511.05,3625.0
Donald,Duck,"June 14, 2009",2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,DonaldDuck@disney.com,Duck*Donald!987,1001,2001,3001,341.35,4820.33,-1239.22,4778.0
Daniel,Mejia,"November 1, 2002",78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,DanielMejia@disney.com,Mejia*Daniel!987,1077,2077,3077,39138.72,642.59,-1368.18,8870.0
Daniel,B,"October 13, 1999",80,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,DanielB@disney.com,B*Daniel!987,1079,2079,3079,1423.9,105.65,-1387.1,3924.0
Peter,Pan,"October 18, 1954",15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PeterPan@disney.com,Pan*Peter!987,1014,2014,3014,135.9,2066.4700000000003,-1274.09,5738.0
Daniel,Z,"September 24, 2008",103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,DanielZ@disney.com,Z*Daniel!987,1102,2102,3102,1497.87,1857.88,-1908.51,8559.0
Hercules,Disney,"March 27, 2004",33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,HerculesDisney@disney.com,Disney*Hercules!987,1032,2032,3032,1275.9,4328.97,-1381.5,3335.0
Daniel,J,"December 19, 1939",88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,DanielJ@disney.com,J*Daniel!987,1087,2087,3087,156.17,21.57,-197.37,5794.0
Ursela,Mermaid,"September 10, 1967",19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,UrselaMermaid@disney.com,Mermaid*Ursela!987,1018,2018,3018,402.17,1703.45,-1821.94,4262.0
Daniel,K,"December 31, 2015",89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,DanielK@disney.com,K*Daniel!987,1088,2088,3088,1699.61,1577.7,-165.76,6233.0
Manuel,Melendez Lujan,"July 10, 1966",67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,ManuelMelendez Lujan@disney.com,Melendez Lujan*Manuel!987,1066,2066,3066,5557.42,97.69,-908.91,7454.0
Eduardo,Garcia,"September 25, 1954",50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,EduardoGarcia@disney.com,Garcia*Eduardo!987,1049,2049,3049,5674.86,3148.33,-1846.05,3591.0
Aladdin,Disney,"July 30, 1976",11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,AladdinDisney@disney.com,Disney*Aladdin!987,1010,2010,3010,1065.3899999999999,3375.52,-1711.79,9035.0
Captaiin,Hook,"December 8, 1990",27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CaptaiinHook@disney.com,Hook*Captaiin!987,1026,2026,3026,1794.39,4558.59,-330.97,8348.0
Robert,Evans,"July 3, 1944",72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,RobertEvans@disney.com,Evans*Robert!987,1071,2071,3071,4246.17,4087.67,-1569.94,9454.0
Dale,Disney,"January 29, 2012",7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,DaleDisney@disney.com,Disney*Dale!987,1006,2006,3006,564.17,4757.049999999999,-1485.87,3974.0
Woody,Disney,"January 24, 1934",16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,WoodyDisney@disney.com,Disney*Woody!987,1015,2015,3015,961.75,595.11,-1105.12,4456.0
Kaa,Disney,"February 5, 1938",28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,KaaDisney@disney.com,Disney*Kaa!987,1027,2027,3027,1691.69,4776.21,-1369.45,5541.0
Daniel,I,"September 17, 1930",87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,DanielI@disney.com,I*Daniel!987,1086,2086,3086,653.47,4810.3,-168.05,3734.0
Laurence,Labayen,"March 12, 1953",65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,LaurenceLabayen@disney.com,Labayen*Laurence!987,1064,2064,3064,5563.66,1732.34,-1264.46,5489.0
Evil,Queen,"June 24, 1992",29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,EvilQueen@disney.com,Queen*Evil!987,1028,2028,3028,1037.81,2345.06,-1759.08,8201.0
Anthony,Jasso,"April 12, 1936",42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,AnthonyJasso@disney.com,Jasso*Anthony!987,1041,2041,3041,5612.04,2838.84,-539.99,6902.0
Mauricio,Ornelas-Gutierrez,"April 2, 1939",69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,MauricioOrnelas-Gutierrez@disney.com,Ornelas-Gutierrez*Mauricio!987,1068,2068,3068,5195.179999999999,4973.67,-1775.99,5421.0
Cesar,Cabrera,"November 11, 1956",45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,CesarCabrera@disney.com,Cabrera*Cesar!987,1044,2044,3044,5569.96,3242.37,-477.05,9099.0
Lidice,Castro Jimenez,"September 9, 1967",66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,LidiceCastro Jimenez@disney.com,Castro Jimenez*Lidice!987,1065,2065,3065,4386.32,3495.16,-848.78,7909.0
Daniel,T,"October 15, 1938",97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,DanielT@disney.com,T*Daniel!987,1096,2096,3096,1575.93,3933.31,-5.74,7789.0
Minh,Dang,"November 6, 1981",70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,MinhDang@disney.com,Dang*Minh!987,1069,2069,3069,4634.72,4545.28,-1026.33,6806.0
Daniel,L,"May 15, 1930",90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,DanielL@disney.com,L*Daniel!987,1089,2089,3089,679.06,3328.88,-244.06,7403.0
Daniel,S,"February 3, 1961",96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,DanielS@disney.com,S*Daniel!987,1095,2095,3095,1251.38,4256.77,-1147.74,8566.0
Khandoker,Rahad,"July 22, 2010",77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,KhandokerRahad@disney.com,Rahad*Khandoker!987,1076,2076,3076,1527.29,103.53,-1886.38,3329.0
Nathan,Aun,"April 26, 1987",76,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,NathanAun@disney.com,Aun*Nathan!987,1075,2075,3075,450.95,3284.9,-736.91,7422.0
Aurora,Disney,"September 17, 1994",14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,AuroraDisney@disney.com,Disney*Aurora!987,1013,2013,3013,434.28,4745.56,-715.58,7527.0
Sofia,Hernandez,"December 9, 2011",74,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,SofiaHernandez@disney.com,Hernandez*Sofia!987,1073,2073,3073,4776.57,3354.61,-984.84,3692.0
Alyssandra,Cordero,"October 2, 1930",41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,AlyssandraCordero@disney.com,Cordero*Alyssandra!987,1040,2040,3040,5026.69,1419.14,-622.78,3117.0
Daniel,G,"June 23, 1965",85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,DanielG@disney.com,G*Daniel!987,1084,2084,3084,717.17,1686.03,-782.02,7368.0
